Title,Author,Price,Release Date,Short Desc,Pages
Hands-On System Programming with Go,Alex Guerrieri,$27.99 ,Jul-19,A practical guide that covers essential of systems programming from kernel API and file system to ne...,458 pages
Python Machine Learning - Second Edition,Sebastian Raschka,$31.99 ,Sep-17,Unlock modern machine learning and deep learning techniques with Python by using the latest cutting-...,622 pages
AWS Penetration Testing,Jonathan Helmus,$27.99 ,Dec-20,"Get to grips with security assessment, vulnerability exploitation, workload security, and encryption...",330 pages
Mastering Microsoft Power BI,Brett Powell,$39.99 ,Mar-18,"Design, create and manage robust Power BI solutions to gain meaningful business insights",638 pages
Hands-On Gradient Boosting with XGBoost and scikit-learn,Corey Wade,$27.99 ,Oct-20,Get to grips with building robust XGBoost models using Python and scikit-learn for deployment,310 pages
Hands-On Application Development with PyCharm,Quan Nguyen,$27.99 ,Sep-19,A definitive guide to PyCharm to help you build business-oriented Python applications ranging from m...,494 pages
Advanced Deep Learning with TensorFlow 2 and Keras - Second Edition,Rowel Atienza,$27.99 ,Feb-20,Updated and revised second edition of the bestselling guide to advanced deep learning with TensorFlo...,512 pages
Machine Learning with the Elastic Stack,Rich Collier,$27.99 ,Jan-19,Leverage Elastic Stack’s machine learning features to gain valuable insight from your data,304 pages
Mastering Active Directory - Second Edition,Dishan Francis,$34.99 ,Aug-19,Become an expert at managing enterprise identity infrastructure by leveraging Active Directory,786 pages
SELinux System Administration - Third Edition,Sven Vermeulen,$34.99 ,Dec-20,"Enhance Linux security, application platforms, and virtualization solutions with SELinux 3 to work w...",458 pages
Datadog Cloud Monitoring Quick Start Guide,Thomas Kurian Theakanath,$27.99 ,Jun-21,A comprehensive guide to rolling out Datadog to monitor infrastructure and applications running in b...,318 pages
Automated Machine Learning with Microsoft Azure,Dennis Michael Sawyers,$31.99 ,Apr-21,"A practical, step-by-step guide to using Microsoft's AutoML technology on the Azure Machine Learning...",340 pages
Clean Code in JavaScript,James Padolsey,$27.99 ,Jan-20,"Get the most out of JavaScript for building web applications through a series of patterns, technique...",548 pages
Learning Elastic Stack 7.0 - Second Edition,Pranav Shukla,$24.99 ,May-19,"A beginner's guide to storing, managing, and analyzing data with the updated features of Elastic 7.0",474 pages
Automate Everyday Tasks in Jira,Gareth Cantrell,$27.99 ,Jan-21,Learn how to automate tasks and create rules in Jira with the help of different use cases,314 pages
Hands-On System Programming with Linux,Kaiwan N Billimoria,$34.99 ,Oct-18,Get up and running with system programming concepts in Linux,794 pages
Learn AWS Serverless Computing,Scott Patterson,$27.99 ,Dec-19,"Build, deploy, test, and run cloud-native serverless applications using AWS Lambda and other popular...",382 pages
Machine Learning for Healthcare Analytics Projects,Eduonix Learning Solutions,$19.99 ,Oct-18,"Create real-world machine learning solutions using NumPy, pandas, matplotlib, and scikit-learn",134 pages
Hands-On Docker for Microservices with Python,Jaime Buelta,$27.99 ,Nov-19,"A step-by-step guide to building microservices using Python and Docker, along with managing and orch...",408 pages
Learning DevOps,Mikael Krief,$27.99 ,Oct-19,Simplify your DevOps roles with DevOps tools and techniques,504 pages
Machine Learning with the Elastic Stack - Second Edition,Rich Collier,$31.99 ,May-21,Discover expert techniques for combining machine learning with the analytic capabilities of Elastic ...,450 pages
Active Directory Administration Cookbook,Sander Berkouwer,$31.99 ,May-19,"Learn the intricacies of managing Azure AD and Azure AD Connect, as well as Active Directory for adm...",620 pages
Advanced Elasticsearch 7.0,Wai Tak Wong,$34.99 ,Aug-19,Master the intricacies of Elasticsearch 7.0 and use it to create flexible and scalable search soluti...,560 pages
Python Feature Engineering Cookbook,Soledad Galli,$27.99 ,Jan-20,"Extract accurate information from data to train and improve machine learning models using NumPy, Sci...",372 pages
The Natural Language Processing Workshop - Second Edition,Rohan Chopra,$27.99 ,Aug-20,"Make NLP easy by building chatbots and models, and executing various NLP tasks to gain data-driven i...",452 pages
Practical Hardware Pentesting,Jean-Georges Valle,$34.99 ,Apr-21,Explore embedded systems pentesting by applying the most common attack techniques and patterns,382 pages
Machine Learning Using TensorFlow Cookbook,Alexia Audevart,$24.99 ,Feb-21,"Comprehensive recipes to give you valuable insights on Transformers, Reinforcement Learning, and mor...",416 pages
Hands-On Microsoft Teams,João Ferreira,$20.99 ,Apr-20,A complete guide on Teams filled with real-world scenarios and best practices to increase enterprise...,324 pages
Hands-On Network Programming with C# and .NET Core,Sean Burns,$27.99 ,Mar-19,"A comprehensive guide to understanding network architecture, communication protocols, and network an...",488 pages
C# Data Structures and Algorithms,Marcin Jamro,$39.99 ,Apr-18,A complete guide on using data structures and algorithms to write sophisticated C# code,292 pages
Hands-On Vision and Behavior for Self-Driving Cars,Luca Venturi,$34.99 ,Oct-20,A practical guide to learning visual perception for self-driving cars for computer vision and autono...,374 pages
Mastering OpenCV 4 with Python,Alberto Fernández Villán,$31.99 ,Mar-19,"Create advanced applications with Python and OpenCV, exploring the potential of facial recognition, ...",532 pages
Hands-On Simulation Modeling with Python,Giuseppe Ciaburro,$27.99 ,Jul-20,Enhance your simulation modeling skills by creating and analyzing digital prototypes of a physical m...,346 pages
Full Stack Development with JHipster - Second Edition,Deepu K Sasidharan,$27.99 ,Jan-20,"Written by the core development team of JHipster and fully updated for JHipster 6, Java 11, and Spri...",428 pages
Practical Cybersecurity Architecture,Ed Moyle,$31.99 ,Nov-20,Plan and design robust security architectures to secure your organization’s technology landscape and...,418 pages
VMware vSphere 6.7 Cookbook - Fourth Edition,Abhilash G B,$27.99 ,Aug-19,"Proven, actionable ways to install, manage, secure and monitor your vSphere 6.7 environments",570 pages
Practical Game Design,Ennio De Nucci,$31.99 ,Apr-18,"Design accessible and creative games across genres, platforms, and development realities",476 pages
Incident Response in the Age of Cloud,Dr. Erdal Ozkaya,$27.99 ,Feb-21,Learn to identify security incidents and build a series of best practices to stop cyber attacks befo...,622 pages
Learn WinUI 3.0,Alvin Ashcraft,$34.99 ,Mar-21,A beginner's guide to building Windows applications with WinUI for UWP and desktop applications,440 pages
Augmented Reality with Unity AR Foundation,Jonathan Linowes,$31.99 ,Aug-21,Explore the world of augmented reality development with the latest features of Unity and step-by-ste...,382 pages
Python Fundamentals,Ryan Marvin,$19.99 ,Oct-18,"With an interesting mix of theory and practicals, explore Python and its features, and progress from...",324 pages
Architecting High-Performance Embedded Systems,Jim Ledin,$31.99 ,Feb-21,"Explore the complete process of developing systems based on field-programmable gate arrays (FPGAs), ...",376 pages
Machine Learning for Cybersecurity Cookbook,Emmanuel Tsukerman,$31.99 ,Nov-19,"Learn how to apply modern AI to create powerful cybersecurity solutions for malware, pentesting, soc...",346 pages
Rust Programming By Example,Guillaume Gomez,$35.99 ,Jan-18,Discover the world of Rust programming through real-world examples,454 pages
Embedded Programming with Modern C++ Cookbook,Igor Viarheichyk,$31.99 ,Apr-20,Explore various constraints and challenges that embedded developers encounter in their daily tasks a...,412 pages
Salesforce for Beginners,Sharif Shaalan,$17.99 ,May-20,"Get a 360-degree view of the Salesforce platform and learn how to use it for sales, service, marketi...",472 pages
"Cybersecurity Threats, Malware Trends, and Strategies",Tim Rains,$20.99 ,May-20,"After scrutinizing numerous cybersecurity strategies, Microsoft’s former Global Chief Security Advis...",428 pages
Go Programming Cookbook - Second Edition,Aaron Torres,$27.99 ,Jul-19,Tackle the trickiest of problems in Go programming with this highly practical guide.,434 pages
Cisco Certified CyberOps Associate 200-201 Certification Guide,Glen D. Singh,$31.99 ,Jun-21,Begin a successful career in cybersecurity operations by achieving Cisco Certified CyberOps Associat...,660 pages
Hands-On RESTful Web Services with ASP.NET Core,Samuele Resca,$27.99 ,Dec-19,Discover how the ASP.NET Core framework helps us to build maintainable and performant web services w...,510 pages
Cleaning Data for Effective Data Science,David Mertz,$27.99 ,Mar-21,Think about your data intelligently and ask the right questions,498 pages
Healthcare Analytics Made Simple,Vikas “Vik” Kumar,$31.99 ,Jul-18,Add a touch of data analytics to your healthcare systems and get insightful outcomes,268 pages
Artificial Intelligence for IoT Cookbook,Michael Roshak,$27.99 ,Mar-21,Implement machine learning and deep learning techniques to perform predictive analytics on real-time...,260 pages
MATLAB for Machine Learning,Giuseppe Ciaburro,$39.99 ,Aug-17,Extract patterns and knowledge from your data in easy way using MATLAB,382 pages
TensorFlow 2 Reinforcement Learning Cookbook,Praveen Palanisamy,$31.99 ,Jan-21,Discover recipes for developing AI applications to solve a variety of real-world business problems u...,472 pages
Hands-on Nuxt.js Web Development,Lau Tiam Kok,$31.99 ,Aug-20,"Learn Nuxt.js for building server-side rendered, static-generated, and production-ready Vue.js web a...",698 pages
Python Algorithmic Trading Cookbook,Pushpak Dagade,$31.99 ,Aug-20,Implement investment strategies using real market data to perform effective financial and data analy...,542 pages
"Cyber Warfare – Truth, Tactics, and Strategies",Dr. Chase Cunningham,$20.99 ,Feb-20,"Insights into the true history of cyber warfare, and the strategies, tactics, and cybersecurity tool...",330 pages
Practical Microservices with Dapr and .NET,Davide Bedin,$31.99 ,Dec-20,"Use the new, enticing, and highly portable event-driven runtime to simplify building resilient and s...",280 pages
Java Programming for Beginners,Mark Lassoff,$24.99 ,Oct-17,"Java Programming for Beginners is an introduction to Java programming, taking you through the Java s...",318 pages
MicroPython Projects,Jacob Beningo,$27.99 ,Apr-20,Explore MicroPython through a series of hands-on projects and learn to design and build your own emb...,294 pages
Hands-On Penetration Testing on Windows,Phil Bramwell,$35.99 ,Jul-18,Master the art of identifying vulnerabilities within the Windows OS and develop the desired solution...,452 pages
Hands-On Genetic Algorithms with Python,Eyal Wirsansky,$27.99 ,Jan-20,"Explore the ever-growing world of genetic algorithms to solve search, optimization, and AI-related t...",346 pages
Enterprise API Management,Luis Weir,$34.99 ,Jul-19,"A strategy and implementation guide for building, deploying, and managing APIs",300 pages
Blockchain By Example,Bellaj Badr,$31.99 ,Nov-18,Implement decentralized blockchain applications to build scalable Dapps,528 pages
Functional Python Programming - Second Edition,Steven F. Lott,$39.99 ,Apr-18,Create succinct and expressive implementations with functional programming in Python,408 pages
Hands-On Graph Analytics with Neo4j,Estelle Scifo,$31.99 ,Aug-20,Discover how to use Neo4j to identify relationships within complex and large graph datasets using gr...,510 pages
Java Fundamentals,Gazihan Alankus,$20.99 ,Mar-19,Enhance your career options with this well-crafted object-oriented programming language that enjoys ...,408 pages
Building Microservices with Go,Nic Jackson,$35.99 ,Jul-17,"Your one-stop guide to the common patterns and practices, showing you how to apply these using the G...",358 pages
Flutter for Beginners,Alessandro Biessek,$24.99 ,Sep-19,A step-by-step guide to learning Flutter and Dart 2 for creating Android and iOS mobile applications,512 pages
Mastering Identity and Access Management with Microsoft Azure - Second Edition,Jochen Nickel,$41.99 ,Feb-19,"Start empowering users and protecting corporate data, while managing identities and access with Micr...",698 pages
Linux Device Driver Development Cookbook,Rodolfo Giometti,$27.99 ,May-19,Over 30 recipes to develop custom drivers for your embedded Linux applications.,356 pages
Hands-On Azure for Developers,Kamil Mrzyg˜Çv=d,$35.99 ,Nov-18,Gain practical skills with Azure and understand how to start developing scalable and easy-to-maintai...,606 pages
The Java Workshop,David Cuartielles,$27.99 ,Oct-19,Cut through the noise and get real results with a step-by-step approach to learning Java programming,606 pages
Artificial Intelligence with Python - Second Edition,Alberto Artasanchez,$34.99 ,Jan-20,"New edition of the bestselling guide to artificial intelligence with Python, updated to Python 3.x a...",618 pages
Hands-On Full Stack Development with Spring Boot 2 and React - Second Edition,Juha Hinkula,$24.99 ,May-19,A comprehensive guide to building full stack applications covering frontend and server-side programm...,316 pages
Getting Started with Terraform - Second Edition,Kirill Shirinkin,$23.99 ,Jul-17,"Build, Manage and Improve your infrastructure effortlessly",208 pages
Mastering Windows Presentation Foundation - Second Edition,Sheridan Yuen,$34.99 ,Mar-20,Gain the expertise you need to build custom application frameworks and responsive and visually appea...,626 pages
Windows Server 2019 Administration Fundamentals - Second Edition,Bekim Dauti,$27.99 ,Oct-19,"Deploy, set up, and deliver network services with Windows Server 2019, and prepare for the MTA 98-36...",426 pages
kubectl: Command-Line Kubernetes in a Nutshell,Rimantas Mocevicius,$17.99 ,Nov-20,Manage Kubernetes applications using kubectl and discover the different Kubernetes clusters,136 pages
Mastering Proxmox - Third Edition,Wasim Ahmed,$31.99 ,Nov-17,Discover real world scenarios for Proxmox troubleshooting and become an expert cloud builder,494 pages
Data Lake for Enterprises,Tomcy John,$18.99 ,May-17,A practical guide to implementing your enterprise data lake using Lambda Architecture as the base,596 pages
Mastering the C++17 STL,Arthur O'Dwyer,$35.99 ,Sep-17,"This book breaks down the C++ STL, teaching you how to extract its gems and apply them to your progr...",384 pages
Mastering Windows Server 2019 - Second Edition,Jordan Krause,$41.99 ,Mar-19,Enhance and secure your datacenter with the newest Microsoft server platform,524 pages
Unity Certified Programmer: Exam Guide,Philip Walker,$27.99 ,Jun-20,"A practical guide to Unity game scripting using C#, backed with practice tests, exam tips, and easy-...",762 pages
Getting Started with Qt 5,Benjamin Baka,$20.99 ,Feb-19,Begin writing graphical user interface(GUI) applications for building human machine interfaces with ...,136 pages
Hands-On Artificial Intelligence for IoT,Amita Kapoor,$34.99 ,Jan-19,Build smarter systems by bringing together Artificial Intelligence and Internet of Things - two of t...,390 pages
React Projects,Roy Derks,$24.99 ,Dec-19,"Build cross-platform applications of varying complexity for the web, mobile, and VR devices using Re...",474 pages
Professional JavaScript,Hugo Di Francesco,$27.99 ,Sep-19,Develop your JavaScript programming skills by learning strategies and techniques commonly used in mo...,664 pages
Hands-On Machine Learning with scikit-learn and Scientific Python Toolkits,Tarek Amr,$27.99 ,Jul-20,"Integrate scikit-learn with various tools such as NumPy, pandas, imbalanced-learn, and scikit-surpri...",384 pages
Mastering Flask Web Development - Second Edition,Daniel Gaspar,$31.99 ,Oct-18,"Learn to build modern, secure, highly available web MVC applications and API’s using Python`s Flask ...",332 pages
Spring 5.0 Projects,Nilang Patel,$31.99 ,Feb-19,"Discover the latest features of Spring framework by building robust, fast, and reactive web applicat...",442 pages
Learn React with TypeScript 3,Carl Rippon,$31.99 ,Nov-18,"Start developing modern day component based web apps using React 16, Redux and TypeScript 3 with thi...",502 pages
Learning PHP 7,Antonio Lopez,$39.99 ,Mar-16,Learn the art of PHP programming through this example-rich book filled to the brim with tutorials ev...,414 pages
Hands-On Data Structures and Algorithms with Rust,Claus Matzinger,$27.99 ,Jan-19,Design and implement professional level programs by exploring modern data structures and algorithms ...,316 pages
Fundamentals of CRM with Dynamics 365 and Power Platform,Nicolae Tarla,$34.99 ,Oct-20,Explore the latest features of Dynamics 365 and Power Platform’s out-of-the-box tools to build custo...,644 pages
Learning Robotic Process Automation,Alok Mani Tripathi,$34.99 ,Mar-18,Design RPA solutions to perform a wide range of transactional tasks with minimal cost and maximum RO...,360 pages
Ghidra Software Reverse Engineering for Beginners,A. P. David,$24.99 ,Jan-21,Detect potentials bugs in your code or program and develop your own tools using the Ghidra reverse e...,322 pages
UML 2.0 in Action: A project-based tutorial,Henriette Baumann,$20.99 ,Sep-05,A detailed and practical book and eBook walk-through showing how to apply UML to real world developm...,248 pages
Learning Robotics using Python - Second Edition,Lentin Joseph,$27.99 ,Jun-18,"Design, simulate, and program interactive robots",280 pages
Practical Autodesk AutoCAD 2021 and AutoCAD LT 2021,Yasser Shoukry,$27.99 ,May-20,Learn 2D drawing and 3D modeling from scratch using AutoCAD 2021 and its more affordable LT version ...,826 pages
SwiftUI Projects,Craig Clayton,$24.99 ,Dec-20,"Learn SwiftUI by building compelling user interfaces for watchOS, iPadOS, and iOS with Swift 5 and X...",410 pages
Mastering Distributed Tracing,Yuri Shkuro,$34.99 ,Feb-19,Understand how to apply distributed tracing to microservices-based architectures,444 pages
Kali Linux Cookbook - Second Edition,Corey P. Schultz,$35.99 ,Sep-17,Over 80 recipes to effectively test your network and boost your career in security,438 pages
NGINX Cookbook,Tim Butler,$35.99 ,Aug-17,A practical book on real-world NGINX deployments to get you up and running quickly.,278 pages
Delphi Programming Projects,William Duarte,$27.99 ,May-19,"Improve your Delphi programming skills by building robust applications for Android, iOS, and Windows...",248 pages
Managing Microsoft Teams: MS-700 Exam Guide,Peter Rising,$34.99 ,Feb-21,Discover how to plan a Microsoft Teams deployment within a business environment and manage Teams adm...,452 pages
WiX 3.6: A Developer's Guide to Windows Installer XML,Nick Ramirez,$29.99 ,Dec-12,An all-in-one introduction to Windows Installer XML from the installer and beyond,488 pages
PostgreSQL 11 Administration Cookbook,Simon Riggs,$31.99 ,May-19,"A practical guide to administer, monitor and replicate your PostgreSQL 11 database",600 pages
Hands-On C++ Game Animation Programming,Gabor Szauer,$24.99 ,Jun-20,Learn animation programming from first principles and implement modern animation techniques that can...,368 pages
CISA – Certified Information Systems Auditor Study Guide,Hemang Doshi,$34.99 ,Aug-20,This CISA study guide is for those interested in achieving CISA certification and provides complete ...,590 pages
Managing Software Requirements the Agile Way,Fred Heath,$24.99 ,Aug-20,"Learn how to deliver software that meets your clients’ needs with the help of a structured, end-to-e...",214 pages
React Material-UI Cookbook,Adam Boduch,$27.99 ,Mar-19,Develop modern-day applications by implementing Material Design principles in React using Material-U...,534 pages
Embedded Linux Development Using Yocto Project Cookbook - Second Edition,Alex González,$35.99 ,Jan-18,Over 79 hands-on recipes for professional embedded Linux developers to optimize and boost their Yoct...,456 pages
Learn Three.js - Third Edition,Jos Dirksen,$35.99 ,Aug-18,Create and animate stunning 3D browser based graphics with Three.js JavaScript library,528 pages
Azure for Architects - Third Edition,Ritesh Modi,$34.99 ,Jul-20,"Build and design multiple types of applications that are cross-language, platform, and cost-effectiv...",698 pages
Qt5 Python GUI Programming Cookbook,B.M. Harwani,$39.99 ,Jul-18,"Over 60 recipes to help you design interactive, smart, and cross-platform GUI applications",462 pages
Hands-On GPU Computing with Python,Avimanyu Bandyopadhyay,$27.99 ,May-19,"Explore GPU-enabled programmable environment for machine learning, scientific applications, and gami...",452 pages
Extending Microsoft Dynamics 365 Finance and Supply Chain Management Cookbook - Second Edition,Simon Buxton,$34.99 ,Mar-20,A practical recipe-based guide to extend your Dynamics 365 Finance and Supply chain management imple...,534 pages
Mastering ServiceNow Scripting,Andrew Kindred,$31.99 ,Feb-18,Understand the ServiceNow scripting and build an efficient customized ServiceNow instance,226 pages
JavaScript by Example,Dani Akash S,$27.99 ,Aug-17,A project based guide to help you get started with web development by building real-world and modern...,298 pages
Unity 2020 Mobile Game Development - Second Edition,John P. Doran,$27.99 ,Aug-20,Create and publish profitable and engaging 2D and 3D games for Android and iOS with the latest Unity...,464 pages
Mastering JavaScript Functional Programming - Second Edition,Federico Kereki,$24.99 ,Jan-20,"Explore functional programming paradigm and techniques to develop better algorithms, write more conc...",470 pages
Data Science Projects with Python,Stephen Klosterman,$24.99 ,Apr-19,"A case study approach to successful data science projects using Python, pandas, and scikit-learn",374 pages
Becoming a Salesforce Certified Technical Architect,Tameem Bahri,$34.99 ,Feb-21,"Design and build high-performance, secure, and scalable Salesforce solutions to meet business demand...",628 pages
Hands-On Recommendation Systems with Python,Rounak Banik,$23.99 ,Jul-18,"With Hands-On Recommendation Systems with Python, learn the tools and techniques required in buildin...",146 pages
AWS Certified Security – Specialty Exam Guide,Stuart Scott,$27.99 ,Sep-20,Build your knowledge and technical expertise as an AWS certified security specialist,558 pages
Systems Engineering Demystified,Jon Holt,$41.99 ,Jan-21,"Get to grips with systems engineering life cycles, processes, and best practices and discover techni...",468 pages
Microsoft Dynamics 365 Project Operations,Robert Houdeshell,$31.99 ,May-21,Discover the endless capabilities and end-to-end project management functionalities of Dynamics 365 ...,298 pages
Mastering iOS 14 Programming - Fourth Edition,Mario Eguiluz Alebicto,$34.99 ,Mar-21,"Become a professional iOS developer with the most in-depth and advanced guide to Swift 5.3, Xcode 12...",558 pages
Svelte 3 Up and Running,Alessandro Segala,$20.99 ,Aug-20,Build your first web project using the Svelte framework and deploy it in the cloud with automated te...,168 pages
Hands-On GPU-Accelerated Computer Vision with OpenCV and CUDA,Bhaumik Vaidya,$34.99 ,Sep-18,Discover how CUDA allows OpenCV to handle complex and rapidly growing image data processing in compu...,380 pages
Splunk Operational Intelligence Cookbook - Third Edition,Josh Diakun,$38.99 ,May-18,Leverage Splunk's operational intelligence capabilities to unlock new hidden business insights and d...,541 pages
Okta Administration: Up and Running,Lovisa Stenbäcken Stjernlöf,$31.99 ,Dec-20,"Plan, design, and implement identity and access management solutions with Okta",268 pages
Hands-On Design Patterns with Delphi,Primož Gabrijelcic,$31.99 ,Feb-19,"Get up to speed with creational, structural, behavioral and concurrent patterns in Delphi to write c...",476 pages
AI Crash Course,Hadelin de Ponteves,$20.99 ,Nov-19,Unlock the power of artificial intelligence with top Udemy AI instructor Hadelin de Ponteves.,360 pages
PostgreSQL 12 High Availability Cookbook - Third Edition,Shaun Thomas,$31.99 ,Feb-20,"A comprehensive guide to understanding key techniques for architecture and hardware planning, monito...",734 pages
The Data Science Workshop - Second Edition,Anthony So,$27.99 ,Aug-20,Gain expert guidance on how to successfully develop machine learning models in Python and build your...,824 pages
Hands-On Business Intelligence with Qlik Sense,Pablo Labbe,$27.99 ,Feb-19,Create dynamic dashboards to bring interactive data visualization to your enterprise using Qlik Sens...,442 pages
Learn SwiftUI,Chris Barker,$20.99 ,Apr-20,Get to grips with Apple’s new SwiftUI framework for creating robust UIs for iOS and iPadOS using Swi...,316 pages
Professional Cloud Architect –  Google Cloud Certification Guide,Konrad Clapa,$35.99 ,Oct-19,"Become a Professional Cloud Architect by exploring essential concepts, tools, and services in GCP an...",520 pages
ROS Robotics Projects - Second Edition,Ramkumar Gandhinathan,$31.99 ,Dec-19,"Build exciting robotics projects such as mobile manipulators, self-driving cars, and industrial robo...",456 pages
Windows Server 2019 Automation with PowerShell Cookbook - Third Edition,Thomas Lee,$41.99 ,Feb-19,Automate Windows server tasks with the latest features of the PowerShell language,542 pages
Next.js Quick Start Guide,Kirill Konshin,$23.99 ,Jul-18,"Create, build and deploy universal JavaScript applications using Next.js",164 pages
Learning PostgreSQL 10 - Second Edition,Salahaldin Juba,$27.99 ,Dec-17,Leverage the power of PostgreSQL 10 to build powerful database and data warehousing applications.,488 pages
Learning Java by Building Android Games - Second Edition,John Horton,$35.99 ,Aug-18,Get ready for a fun-filled experience of learning Java by developing games for the Android platform,774 pages
Blueprints Visual Scripting for Unreal Engine - Second Edition,Marcos Romero,$27.99 ,Aug-19,Develop high-quality interactive games with the power of Unreal Engine's visual scripting language a...,380 pages
Creative Projects for Rust Programmers,Carlo Milanesi,$31.99 ,Jun-20,"A practical guide to understanding the latest features of the Rust programming language, useful libr...",404 pages
Implementing VxRail HCI Solutions,Victor Wu,$34.99 ,Jun-21,"Plan, design, deploy, and administer the solutions available in VxRail Appliance",364 pages
Electron Projects,Denys Vuika,$24.99 ,Nov-19,"A project-based guide to help you create, package, and deploy desktop applications on multiple platf...",436 pages
Odoo 12 Development Essentials - Fourth Edition,Daniel Reis,$35.99 ,Dec-18,A practical guide to extend your skills with Odoo 12 to build resourceful and open-source business a...,404 pages
Rust High Performance,Iban Eguia Moraza,$35.99 ,Mar-18,"Find bottlenecks, identify the proper algorithm to use, optimize performance, and create really effi...",272 pages
The Professional Scrum Master (PSM I) Guide,Fred Heath,$17.99 ,Jul-21,Implement modern and industry-proven Scrum techniques to achieve business agility and prove your cre...,174 pages
Mastering Python for Finance - Second Edition,James Ma Weiming,$27.99 ,Apr-19,Take your financial skills to the next level by mastering cutting-edge mathematical and statistical ...,426 pages
Python GUI Programming - A Complete Reference Guide,Alan D. Moore,$34.99 ,Jun-19,Explore Python’s GUI frameworks and create visually stunning and feature-rich applications,746 pages
Learn Kotlin Programming - Second Edition,Stephen Samuel,$24.99 ,May-19,Delve into the world of Kotlin and learn to build powerful Android and web applications,514 pages
OpenStack Cloud Computing Cookbook - Fourth Edition,Kevin Jackson,$39.99 ,Jan-18,"The Fourth Edition of the industry-acclaimed OpenStack Cloud Computing Cookbook, from four recognize...",398 pages
Practical Artificial Intelligence and Blockchain,Ganesh Prasad Kumble,$27.99 ,Jul-20,Learn how to use AI and blockchain to build decentralized intelligent applications (DIApps) that ove...,290 pages
Hands-On Full Stack Development with Go,Mina Andrawos,$27.99 ,Mar-19,Create a real-world application in Go and explore various frameworks and methodologies for full-stac...,324 pages
The Data Visualization Workshop,Mario Döbler,$31.99 ,Jul-20,Explore a modern approach to visualizing data with Python and transform large real-world datasets in...,536 pages
Digital Forensics with Kali Linux - Second Edition,Shiva V. N. Parasram,$24.99 ,Apr-20,Take your forensic abilities and investigation skills to the next level using powerful tools that ca...,334 pages
Infrastructure Monitoring with Amazon CloudWatch,Ewere Diagboya,$27.99 ,Apr-21,Explore real-world examples of issues with systems and find ways to resolve them using Amazon CloudW...,314 pages
Mastering Bootstrap 4 - Second Edition,Benjamin Jakobus,$35.99 ,Feb-18,"Build responsive, dynamic, and mobile-first applications on the web with Bootstrap 4",354 pages
Hands-On Cloud-Native Applications with Java and Quarkus,Francesco Marchioni,$24.99 ,Dec-19,"Build robust and reliable Java applications that works on modern infrastructure, such as containers ...",314 pages
Clip Studio Paint by Example,Ludovico Serra,$34.99 ,Jul-21,Get up to speed with the essential tools and workflows for creating a professional portfolio using C...,512 pages
Wordpress Development Quick Start Guide,Rakhitha Nimesh Ratnayake,$27.99 ,Oct-18,Learn core WordPress concepts and components to create modern WordPress-based solutions,300 pages
Learn Azure Administration,Kamil Mrzyg˜Çv=d,$31.99 ,Sep-20,"Enhance your Azure administration and Azure DevOps skills and get up and running with networking, se...",452 pages
Hands-On Predictive Analytics with Python,Alvaro Fuentes,$31.99 ,Dec-18,Step-by-step guide to build high performing predictive applications,330 pages
Machine Learning with BigQuery ML,Alessandro Marrandino,$31.99 ,Jun-21,Manage different business scenarios with the right machine learning technique using Google's highly ...,344 pages
Mastering Embedded Linux Programming - Second Edition,Chris Simmonds,$39.99 ,Jun-17,"Master the techniques needed to build great, efficient embedded devices on Linux",478 pages
Deep Learning for Beginners,Dr. Pablo Rivas,$27.99 ,Sep-20,"Implementing supervised, unsupervised, and generative deep learning (DL) models using Keras, TensorF...",432 pages
React Native Cookbook - Second Edition,Daniel Ward,$27.99 ,Jan-19,Improve your React Native mobile development skills and transition from web to mobile development wi...,592 pages
Mastering Python Design Patterns - Second Edition,Kamon Ayeva,$31.99 ,Aug-18,Exploit various design patterns to master the art of solving problems using Python,248 pages
Linux Administration Cookbook,Adam K. Dean,$31.99 ,Dec-18,Over 100 recipes to get up and running with the modern Linux administration ecosystem,826 pages
SwiftUI Cookbook,Giordano Scalzo,$27.99 ,Oct-20,Unleash the power of declarative programming in SwiftUI with practical recipes for building cross-pl...,614 pages
Hands-On Business Intelligence with DAX,Ian Horne,$24.99 ,Jan-20,"Implement business intelligence (BI), data modeling, and data analytics within Microsoft products su...",402 pages
Learning SaltStack - Second Edition,Colton Myers,$27.99 ,Jun-16,"Build, manage, and secure your infrastructure by utilizing the power of SaltStack",202 pages
Learning Microsoft Project 2019,Srikanth Shirodkar,$31.99 ,Sep-20,"Explore practice questions, detailed explanations, and examples to get up and running with the five ...",504 pages
Mastering pandas - Second Edition,Ashish Kumar,$35.99 ,Oct-19,Perform advanced data manipulation tasks using pandas and become an expert data analyst.,674 pages
Mastering Numerical Computing with NumPy,Umit Mert Cakmak,$24.99 ,Jun-18,Enhance the power of NumPy and start boosting your scientific computing capabilities,248 pages
Microsoft Azure Administrator – Exam Guide AZ-103,Sjoukje Zaal,$27.99 ,May-19,"Manage Microsoft Azure cloud services that span storage, security, networking, and compute cloud cap...",452 pages
Tableau 2019.x Cookbook,Dmitry Anoshin,$27.99 ,Jan-19,"Perform advanced dashboard, visualization, and analytical techniques with Tableau Desktop, Tableau P...",670 pages
Microsoft 365 Security Administration: MS-500 Exam Guide,Peter Rising,$31.99 ,Jun-20,Get up to speed with expert tips and techniques to help you prepare effectively for the MS-500 Exam,672 pages
